name,size,link
Brunswick Circuit Pro Bowling (USA).chd,381 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Brunswick%20Circuit%20Pro%20Bowling%20%28USA%29.chd?download=true
Brunswick Circuit Pro Bowling 2 (USA).chd,427 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Brunswick%20Circuit%20Pro%20Bowling%202%20%28USA%29.chd?download=true
"Bugs Bunny - Lost in Time (USA) (En,Fr,Es).chd",267 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bugs%20Bunny%20-%20Lost%20in%20Time%20%28USA%29%20%28En%2CFr%2CEs%29.chd?download=true
Builder's Block (USA).chd,338 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Builder%27s%20Block%20%28USA%29.chd?download=true
Burning Road (USA) (Demo).chd,250 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Burning%20Road%20%28USA%29%20%28Demo%29.chd?download=true
Burning Road (USA).chd,250 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Burning%20Road%20%28USA%29.chd?download=true
BursTrick - Wake Boarding!! (USA).chd,157 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/BursTrick%20-%20Wake%20Boarding%21%21%20%28USA%29.chd?download=true
Bushido Blade (USA).chd,282 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bushido%20Blade%20%28USA%29.chd?download=true
Bushido Blade 2 (USA).chd,349 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bushido%20Blade%202%20%28USA%29.chd?download=true
Bust A Groove (USA) (Demo).chd,237 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bust%20A%20Groove%20%28USA%29%20%28Demo%29.chd?download=true
Bust A Groove (USA).chd,298 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bust%20A%20Groove%20%28USA%29.chd?download=true
Bust A Groove 2 (USA).chd,260 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bust%20A%20Groove%202%20%28USA%29.chd?download=true
Bust A Move (Japan) (Disc 1) (Genteiban).chd,239 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Bust%20A%20Move%20%28Japan%29%20%28Disc%201%29%20%28Genteiban%29.chd?download=true
Bust A Move (Japan) (Disc 2) (Premium CD-ROM) (Genteiban).chd,190 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Bust%20A%20Move%20%28Japan%29%20%28Disc%202%29%20%28Premium%20CD-ROM%29%20%28Genteiban%29.chd?download=true
Bust-A-Move '99 (USA).chd,226 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bust-A-Move%20%2799%20%28USA%29.chd?download=true
Bust-A-Move 2 - Arcade Edition (USA).chd,207 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bust-A-Move%202%20-%20Arcade%20Edition%20%28USA%29.chd?download=true
